
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   16:58:43  MAY 15, 2023 CP=      0.375

 test--Harmonic Response (L5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
   0.10013E+06   0.00000       0.00000      -1137.22       0.00000     
   0.10027E+06   0.00000       0.00000      -1134.96       0.00000     
   0.10040E+06   0.00000       0.00000      -1132.70       0.00000     
   0.10053E+06   0.00000       0.00000      -1130.44       0.00000     
   0.10067E+06   0.00000       0.00000      -1128.18       0.00000     
   0.10080E+06   0.00000       0.00000      -1125.93       0.00000     
   0.10093E+06   0.00000       0.00000      -1123.67       0.00000     
   0.10107E+06   0.00000       0.00000      -1121.41       0.00000     
   0.10120E+06   0.00000       0.00000      -1119.15       0.00000     
   0.10133E+06   0.00000       0.00000      -1116.89       0.00000     
   0.10147E+06   0.00000       0.00000      -1114.63       0.00000     
   0.10160E+06   0.00000       0.00000      -1112.37       0.00000     
   0.10173E+06   0.00000       0.00000      -1110.11       0.00000     
   0.10187E+06   0.00000       0.00000      -1107.85       0.00000     
   0.10200E+06   0.00000       0.00000      -1105.59       0.00000     
   0.10213E+06   0.00000       0.00000      -1103.33       0.00000     
   0.10227E+06   0.00000       0.00000      -1101.07       0.00000     
   0.10240E+06   0.00000       0.00000      -1098.80       0.00000     
   0.10253E+06   0.00000       0.00000      -1096.54       0.00000     
   0.10267E+06   0.00000       0.00000      -1094.27       0.00000     
   0.10280E+06   0.00000       0.00000      -1092.01       0.00000     
   0.10293E+06   0.00000       0.00000      -1089.74       0.00000     
   0.10307E+06   0.00000       0.00000      -1087.47       0.00000     
   0.10320E+06   0.00000       0.00000      -1085.20       0.00000     
   0.10333E+06   0.00000       0.00000      -1082.93       0.00000     
   0.10347E+06   0.00000       0.00000      -1080.66       0.00000     
   0.10360E+06   0.00000       0.00000      -1078.39       0.00000     
   0.10373E+06   0.00000       0.00000      -1076.11       0.00000     
   0.10387E+06   0.00000       0.00000      -1073.84       0.00000     
   0.10400E+06   0.00000       0.00000      -1071.56       0.00000     
   0.10413E+06   0.00000       0.00000      -1069.28       0.00000     
   0.10427E+06   0.00000       0.00000      -1066.99       0.00000     
   0.10440E+06   0.00000       0.00000      -1064.71       0.00000     
   0.10453E+06   0.00000       0.00000      -1062.42       0.00000     
   0.10467E+06   0.00000       0.00000      -1060.14       0.00000     
   0.10480E+06   0.00000       0.00000      -1057.84       0.00000     
   0.10493E+06   0.00000       0.00000      -1055.55       0.00000     
   0.10507E+06   0.00000       0.00000      -1053.25       0.00000     
   0.10520E+06   0.00000       0.00000      -1050.96       0.00000     
   0.10533E+06   0.00000       0.00000      -1048.66       0.00000     
   0.10547E+06   0.00000       0.00000      -1046.35       0.00000     
   0.10560E+06   0.00000       0.00000      -1044.04       0.00000     
   0.10573E+06   0.00000       0.00000      -1041.73       0.00000     
   0.10587E+06   0.00000       0.00000      -1039.42       0.00000     
   0.10600E+06   0.00000       0.00000      -1037.11       0.00000     
   0.10613E+06   0.00000       0.00000      -1034.79       0.00000     
   0.10627E+06   0.00000       0.00000      -1032.46       0.00000     
   0.10640E+06   0.00000       0.00000      -1030.14       0.00000     
   0.10653E+06   0.00000       0.00000      -1027.80       0.00000     
   0.10667E+06   0.00000       0.00000      -1025.47       0.00000     
   0.10680E+06   0.00000       0.00000      -1023.13       0.00000     
   0.10693E+06   0.00000       0.00000      -1020.79       0.00000     
   0.10707E+06   0.00000       0.00000      -1018.44       0.00000     
   0.10720E+06   0.00000       0.00000      -1016.09       0.00000     
   0.10733E+06   0.00000       0.00000      -1013.74       0.00000     
   0.10747E+06   0.00000       0.00000      -1011.38       0.00000     
   0.10760E+06   0.00000       0.00000      -1009.01       0.00000     
   0.10773E+06   0.00000       0.00000      -1006.64       0.00000     
   0.10787E+06   0.00000       0.00000      -1004.27       0.00000     
   0.10800E+06   0.00000       0.00000      -1001.89       0.00000     
   0.10813E+06   0.00000       0.00000      -999.505       0.00000     
   0.10827E+06   0.00000       0.00000      -997.114       0.00000     
   0.10840E+06   0.00000       0.00000      -994.718       0.00000     
   0.10853E+06   0.00000       0.00000      -992.317       0.00000     
   0.10867E+06   0.00000       0.00000      -989.909       0.00000     
   0.10880E+06   0.00000       0.00000      -987.496       0.00000     
   0.10893E+06   0.00000       0.00000      -985.076       0.00000     
   0.10907E+06   0.00000       0.00000      -982.650       0.00000     
   0.10920E+06   0.00000       0.00000      -980.218       0.00000     
   0.10933E+06   0.00000       0.00000      -977.778       0.00000     
   0.10947E+06   0.00000       0.00000      -975.332       0.00000     
   0.10960E+06   0.00000       0.00000      -972.879       0.00000     
   0.10973E+06   0.00000       0.00000      -970.419       0.00000     
   0.10987E+06   0.00000       0.00000      -967.951       0.00000     
   0.11000E+06   0.00000       0.00000      -965.476       0.00000     
   0.11013E+06   0.00000       0.00000      -962.993       0.00000     
   0.11027E+06   0.00000       0.00000      -960.502       0.00000     
   0.11040E+06   0.00000       0.00000      -958.002       0.00000     
   0.11053E+06   0.00000       0.00000      -955.495       0.00000     
   0.11067E+06   0.00000       0.00000      -952.979       0.00000     
   0.11080E+06   0.00000       0.00000      -950.454       0.00000     
   0.11093E+06   0.00000       0.00000      -947.920       0.00000     
   0.11107E+06   0.00000       0.00000      -945.377       0.00000     
   0.11120E+06   0.00000       0.00000      -942.825       0.00000     
   0.11133E+06   0.00000       0.00000      -940.263       0.00000     
   0.11147E+06   0.00000       0.00000      -937.691       0.00000     
   0.11160E+06   0.00000       0.00000      -935.108       0.00000     
   0.11173E+06   0.00000       0.00000      -932.516       0.00000     
   0.11187E+06   0.00000       0.00000      -929.913       0.00000     
   0.11200E+06   0.00000       0.00000      -927.299       0.00000     
   0.11213E+06   0.00000       0.00000      -924.674       0.00000     
   0.11227E+06   0.00000       0.00000      -922.038       0.00000     
   0.11240E+06   0.00000       0.00000      -919.390       0.00000     
   0.11253E+06   0.00000       0.00000      -916.730       0.00000     
   0.11267E+06   0.00000       0.00000      -914.058       0.00000     
   0.11280E+06   0.00000       0.00000      -911.373       0.00000     
   0.11293E+06   0.00000       0.00000      -908.676       0.00000     
   0.11307E+06   0.00000       0.00000      -905.965       0.00000     
   0.11320E+06   0.00000       0.00000      -903.241       0.00000     
   0.11333E+06   0.00000       0.00000      -900.504       0.00000     
   0.11347E+06   0.00000       0.00000      -897.752       0.00000     
   0.11360E+06   0.00000       0.00000      -894.986       0.00000     
   0.11373E+06   0.00000       0.00000      -892.206       0.00000     
   0.11387E+06   0.00000       0.00000      -889.410       0.00000     
   0.11400E+06   0.00000       0.00000      -886.599       0.00000     
   0.11413E+06   0.00000       0.00000      -883.772       0.00000     
   0.11427E+06   0.00000       0.00000      -880.929       0.00000     
   0.11440E+06   0.00000       0.00000      -878.070       0.00000     
   0.11453E+06   0.00000       0.00000      -875.193       0.00000     
   0.11467E+06   0.00000       0.00000      -872.300       0.00000     
   0.11480E+06   0.00000       0.00000      -869.388       0.00000     
   0.11493E+06   0.00000       0.00000      -866.459       0.00000     
   0.11507E+06   0.00000       0.00000      -863.511       0.00000     
   0.11520E+06   0.00000       0.00000      -860.544       0.00000     
   0.11533E+06   0.00000       0.00000      -857.557       0.00000     
   0.11547E+06   0.00000       0.00000      -854.551       0.00000     
   0.11560E+06   0.00000       0.00000      -851.524       0.00000     
   0.11573E+06   0.00000       0.00000      -848.476       0.00000     
   0.11587E+06   0.00000       0.00000      -845.407       0.00000     
   0.11600E+06   0.00000       0.00000      -842.316       0.00000     
   0.11613E+06   0.00000       0.00000      -839.202       0.00000     
   0.11627E+06   0.00000       0.00000      -836.065       0.00000     
   0.11640E+06   0.00000       0.00000      -832.905       0.00000     
   0.11653E+06   0.00000       0.00000      -829.721       0.00000     
   0.11667E+06   0.00000       0.00000      -826.512       0.00000     
   0.11680E+06   0.00000       0.00000      -823.277       0.00000     
   0.11693E+06   0.00000       0.00000      -820.016       0.00000     
   0.11707E+06   0.00000       0.00000      -816.729       0.00000     
   0.11720E+06   0.00000       0.00000      -813.415       0.00000     
   0.11733E+06   0.00000       0.00000      -810.072       0.00000     
   0.11747E+06   0.00000       0.00000      -806.701       0.00000     
   0.11760E+06   0.00000       0.00000      -803.300       0.00000     
   0.11773E+06   0.00000       0.00000      -799.869       0.00000     
   0.11787E+06   0.00000       0.00000      -796.407       0.00000     
   0.11800E+06   0.00000       0.00000      -792.913       0.00000     
   0.11813E+06   0.00000       0.00000      -789.386       0.00000     
   0.11827E+06   0.00000       0.00000      -785.827       0.00000     
   0.11840E+06   0.00000       0.00000      -782.232       0.00000     
   0.11853E+06   0.00000       0.00000      -778.603       0.00000     
   0.11867E+06   0.00000       0.00000      -774.937       0.00000     
   0.11880E+06   0.00000       0.00000      -771.234       0.00000     
   0.11893E+06   0.00000       0.00000      -767.493       0.00000     
   0.11907E+06   0.00000       0.00000      -763.713       0.00000     
   0.11920E+06   0.00000       0.00000      -759.892       0.00000     
   0.11933E+06   0.00000       0.00000      -756.030       0.00000     
   0.11947E+06   0.00000       0.00000      -752.126       0.00000     
   0.11960E+06   0.00000       0.00000      -748.178       0.00000     
   0.11973E+06   0.00000       0.00000      -744.185       0.00000     
   0.11987E+06   0.00000       0.00000      -740.146       0.00000     
   0.12000E+06   0.00000       0.00000      -736.059       0.00000     
   0.12013E+06   0.00000       0.00000      -731.924       0.00000     
   0.12027E+06   0.00000       0.00000      -727.738       0.00000     
   0.12040E+06   0.00000       0.00000      -723.501       0.00000     
   0.12053E+06   0.00000       0.00000      -719.211       0.00000     
   0.12067E+06   0.00000       0.00000      -714.866       0.00000     
   0.12080E+06   0.00000       0.00000      -710.464       0.00000     
   0.12093E+06   0.00000       0.00000      -706.005       0.00000     
   0.12107E+06   0.00000       0.00000      -701.485       0.00000     
   0.12120E+06   0.00000       0.00000      -696.905       0.00000     
   0.12133E+06   0.00000       0.00000      -692.261       0.00000     
   0.12147E+06   0.00000       0.00000      -687.551       0.00000     
   0.12160E+06   0.00000       0.00000      -682.774       0.00000     
   0.12173E+06   0.00000       0.00000      -677.928       0.00000     
   0.12187E+06   0.00000       0.00000      -673.009       0.00000     
   0.12200E+06   0.00000       0.00000      -668.017       0.00000     
   0.12213E+06   0.00000       0.00000      -662.949       0.00000     
   0.12227E+06   0.00000       0.00000      -657.801       0.00000     
   0.12240E+06   0.00000       0.00000      -652.573       0.00000     
   0.12253E+06   0.00000       0.00000      -647.260       0.00000     
   0.12267E+06   0.00000       0.00000      -641.860       0.00000     
   0.12280E+06   0.00000       0.00000      -636.371       0.00000     
   0.12293E+06   0.00000       0.00000      -630.788       0.00000     
   0.12307E+06   0.00000       0.00000      -625.110       0.00000     
   0.12320E+06   0.00000       0.00000      -619.332       0.00000     
   0.12333E+06   0.00000       0.00000      -613.451       0.00000     
   0.12347E+06   0.00000       0.00000      -607.464       0.00000     
   0.12360E+06   0.00000       0.00000      -601.366       0.00000     
   0.12373E+06   0.00000       0.00000      -595.155       0.00000     
   0.12387E+06   0.00000       0.00000      -588.824       0.00000     
   0.12400E+06   0.00000       0.00000      -582.371       0.00000     
   0.12413E+06   0.00000       0.00000      -575.790       0.00000     
   0.12427E+06   0.00000       0.00000      -569.078       0.00000     
   0.12440E+06   0.00000       0.00000      -562.227       0.00000     
   0.12453E+06   0.00000       0.00000      -555.235       0.00000     
   0.12467E+06   0.00000       0.00000      -548.094       0.00000     
   0.12480E+06   0.00000       0.00000      -540.798       0.00000     
   0.12493E+06   0.00000       0.00000      -533.343       0.00000     
   0.12507E+06   0.00000       0.00000      -525.721       0.00000     
   0.12520E+06   0.00000       0.00000      -517.925       0.00000     
   0.12533E+06   0.00000       0.00000      -509.948       0.00000     
   0.12547E+06   0.00000       0.00000      -501.783       0.00000     
   0.12560E+06   0.00000       0.00000      -493.421       0.00000     
   0.12573E+06   0.00000       0.00000      -484.854       0.00000     
   0.12587E+06   0.00000       0.00000      -476.072       0.00000     
   0.12600E+06   0.00000       0.00000      -467.067       0.00000     
   0.12613E+06   0.00000       0.00000      -457.828       0.00000     
   0.12627E+06   0.00000       0.00000      -448.345       0.00000     
   0.12640E+06   0.00000       0.00000      -438.605       0.00000     
   0.12653E+06   0.00000       0.00000      -428.597       0.00000     
   0.12667E+06   0.00000       0.00000      -418.308       0.00000     
   0.12680E+06   0.00000       0.00000      -407.725       0.00000     
   0.12693E+06   0.00000       0.00000      -396.832       0.00000     
   0.12707E+06   0.00000       0.00000      -385.614       0.00000     
   0.12720E+06   0.00000       0.00000      -374.054       0.00000     
   0.12733E+06   0.00000       0.00000      -362.135       0.00000     
   0.12747E+06   0.00000       0.00000      -349.837       0.00000     
   0.12760E+06   0.00000       0.00000      -337.141       0.00000     
   0.12773E+06   0.00000       0.00000      -324.023       0.00000     
   0.12787E+06   0.00000       0.00000      -310.461       0.00000     
   0.12800E+06   0.00000       0.00000      -296.430       0.00000     
   0.12813E+06   0.00000       0.00000      -281.902       0.00000     
   0.12827E+06   0.00000       0.00000      -266.847       0.00000     
   0.12840E+06   0.00000       0.00000      -251.234       0.00000     
   0.12853E+06   0.00000       0.00000      -235.029       0.00000     
   0.12867E+06   0.00000       0.00000      -218.195       0.00000     
   0.12880E+06   0.00000       0.00000      -200.691       0.00000     
   0.12893E+06   0.00000       0.00000      -182.472       0.00000     
   0.12907E+06   0.00000       0.00000      -163.493       0.00000     
   0.12920E+06   0.00000       0.00000      -143.699       0.00000     
   0.12933E+06   0.00000       0.00000      -123.036       0.00000     
