
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   10:34:43  APR 04, 2023 CP=      0.422

 test--Harmonic Response (P5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
   0.10527E+06   0.00000       0.00000      0.424615E-005  0.00000     
   0.10573E+06   0.00000       0.00000     -0.602939E-005  0.00000     
   0.10620E+06   0.00000       0.00000      0.115718E-005  0.00000     
   0.10667E+06   0.00000       0.00000     -0.176726E-005  0.00000     
   0.10713E+06   0.00000       0.00000     -0.507808E-005  0.00000     
   0.10760E+06   0.00000       0.00000      0.491994E-005  0.00000     
   0.10807E+06   0.00000       0.00000     -0.211731E-005  0.00000     
   0.10853E+06   0.00000       0.00000      0.829811E-006  0.00000     
   0.10900E+06   0.00000       0.00000      0.474893E-005  0.00000     
   0.10947E+06   0.00000       0.00000     -0.309544E-005  0.00000     
   0.10993E+06   0.00000       0.00000      0.895727E-005  0.00000     
   0.11040E+06   0.00000       0.00000     -0.125933E-005  0.00000     
   0.11087E+06   0.00000       0.00000      0.239695E-006  0.00000     
   0.11133E+06   0.00000       0.00000     -0.309232E-004  0.00000     
   0.11180E+06   0.00000       0.00000     -0.783403E-006  0.00000     
   0.11227E+06   0.00000       0.00000     -0.140716E-005  0.00000     
   0.11273E+06   0.00000       0.00000      0.614147E-006  0.00000     
   0.11320E+06   0.00000       0.00000      0.680195E-006  0.00000     
   0.11367E+06   0.00000       0.00000     -0.116552E-005  0.00000     
   0.11413E+06   0.00000       0.00000     -0.250490E-005  0.00000     
   0.11460E+06   0.00000       0.00000     -0.631722E-005  0.00000     
   0.11507E+06   0.00000       0.00000      0.364895E-005  0.00000     
   0.11553E+06   0.00000       0.00000      0.247172E-006  0.00000     
   0.11600E+06   0.00000       0.00000     -0.727907E-005  0.00000     
   0.11647E+06   0.00000       0.00000      0.179883E-004  0.00000     
   0.11693E+06   0.00000       0.00000      0.812378E-007  0.00000     
   0.11740E+06   0.00000       0.00000      0.405791E-006  0.00000     
   0.11787E+06   0.00000       0.00000     -0.876125E-006  0.00000     
   0.11833E+06   0.00000       0.00000      0.189778E-006  0.00000     
   0.11880E+06   0.00000       0.00000      0.391145E-005  0.00000     
   0.11927E+06   0.00000       0.00000      0.124613E-005  0.00000     
   0.11973E+06   0.00000       0.00000      0.382686E-005  0.00000     
   0.12020E+06   0.00000       0.00000     -0.148860E-005  0.00000     
   0.12067E+06   0.00000       0.00000     -0.207466E-005  0.00000     
   0.12113E+06   0.00000       0.00000     -0.169741E-005  0.00000     
   0.12160E+06   0.00000       0.00000     -0.235723E-005  0.00000     
   0.12207E+06   0.00000       0.00000     -0.165346E-005  0.00000     
   0.12253E+06   0.00000       0.00000      0.562214E-005  0.00000     
   0.12300E+06   0.00000       0.00000     -0.876511E-006  0.00000     
   0.12347E+06   0.00000       0.00000      0.478298E-006  0.00000     
   0.12393E+06   0.00000       0.00000     -0.951928E-006  0.00000     
   0.12440E+06   0.00000       0.00000      0.212538E-006  0.00000     
   0.12487E+06   0.00000       0.00000      0.253885E-005  0.00000     
   0.12533E+06   0.00000       0.00000      0.494045E-004  0.00000     
   0.12580E+06   0.00000       0.00000      0.634094E-006  0.00000     
   0.12627E+06   0.00000       0.00000     -0.215272E-006  0.00000     
   0.12673E+06   0.00000       0.00000     -0.398140E-005  0.00000     
   0.12720E+06   0.00000       0.00000      0.220933E-005  0.00000     
   0.12767E+06   0.00000       0.00000      0.101879E-005  0.00000     
   0.12813E+06   0.00000       0.00000     -0.444934E-006  0.00000     
   0.12860E+06   0.00000       0.00000     -0.978750E-006  0.00000     
   0.12907E+06   0.00000       0.00000      0.135883E-006  0.00000     
   0.12953E+06   0.00000       0.00000     -0.100081E-004  0.00000     
   0.13000E+06   0.00000       0.00000     -0.596690E-005  0.00000     
   0.13047E+06   0.00000       0.00000     -0.270383E-005  0.00000     
   0.13093E+06   0.00000       0.00000     -0.354615E-005  0.00000     
   0.13140E+06   0.00000       0.00000     -0.115743E-004  0.00000     
   0.13187E+06   0.00000       0.00000      0.187279E-005  0.00000     
   0.13233E+06   0.00000       0.00000     -0.124997E-005  0.00000     
   0.13280E+06   0.00000       0.00000     -0.514111E-005  0.00000     
   0.13327E+06   0.00000       0.00000     -0.179327E-005  0.00000     
   0.13373E+06   0.00000       0.00000     -0.387679E-005  0.00000     
   0.13420E+06   0.00000       0.00000     -0.470898E-006  0.00000     
