
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   11:45:03  APR 04, 2023 CP=      0.625

 test--Harmonic Response (P5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    60467.       0.00000       0.00000      -2022.95       0.00000     
    60933.       0.00000       0.00000      -2005.27       0.00000     
    61400.       0.00000       0.00000      -1987.80       0.00000     
    61867.       0.00000       0.00000      -1970.51       0.00000     
    62333.       0.00000       0.00000      -1953.40       0.00000     
    62800.       0.00000       0.00000      -1936.47       0.00000     
    63267.       0.00000       0.00000      -1919.70       0.00000     
    63733.       0.00000       0.00000      -1903.08       0.00000     
    64200.       0.00000       0.00000      -1886.61       0.00000     
    64667.       0.00000       0.00000      -1870.27       0.00000     
    65133.       0.00000       0.00000      -1854.06       0.00000     
    65600.       0.00000       0.00000      -1837.97       0.00000     
    66067.       0.00000       0.00000      -1821.99       0.00000     
    66533.       0.00000       0.00000      -1806.11       0.00000     
    67000.       0.00000       0.00000      -1790.31       0.00000     
    67467.       0.00000       0.00000      -1774.59       0.00000     
    67933.       0.00000       0.00000      -1758.94       0.00000     
    68400.       0.00000       0.00000      -1743.34       0.00000     
    68867.       0.00000       0.00000      -1727.77       0.00000     
    69333.       0.00000       0.00000      -1712.24       0.00000     
    69800.       0.00000       0.00000      -1696.71       0.00000     
    70267.       0.00000       0.00000      -1681.17       0.00000     
    70733.       0.00000       0.00000      -1665.61       0.00000     
    71200.       0.00000       0.00000      -1650.00       0.00000     
    71667.       0.00000       0.00000      -1634.33       0.00000     
    72133.       0.00000       0.00000      -1618.56       0.00000     
    72600.       0.00000       0.00000      -1602.68       0.00000     
    73067.       0.00000       0.00000      -1586.65       0.00000     
    73533.       0.00000       0.00000      -1570.44       0.00000     
    74000.       0.00000       0.00000      -1554.00       0.00000     
    74467.       0.00000       0.00000      -1537.31       0.00000     
