Utente1,Utente2,ScoreML
0.1,0.2,0.672560429722471
0.1,13.3,0.306753147653567
0.1,14.1,0.460180201971337
0.1,14.2,0.418904927218466
0.1,14.3,0.477425276805691
0.1,15.1,0.469028741328048
0.1,15.2,0.387792929961605
0.1,15.3,0.447176913425345
0.1,16.1,0.337886778067222
0.1,16.3,0.448950851992677
0.1,17.1,0.249963604600379
0.1,17.2,0.250693937180424
0.1,17.3,0.266134118141686
0.1,19.1,0.365123352483947
0.1,19.2,0.429536244934714
0.1,19.3,0.394178367634802
0.1,20.1,0.324995274399849
0.1,20.2,0.352509628905056
0.1,20.3,0.306166560712015
0.1,21.1,0.390808987333715
0.1,21.2,0.376811594202899
0.1,21.3,0.369251336898396
0.1,22.2,0.325983628201743
0.1,24.1,0.402316602316602
0.1,24.2,0.403837060055394
0.1,24.3,0.364515909245759
0.1,4.1,0.35277345775013
0.1,4.2,0.348181446669391
0.1,8.1,0.355666074600355
0.2,13.3,0.274183215887252
0.2,14.1,0.415939798187105
0.2,14.2,0.442874375323109
0.2,14.3,0.456454835052103
0.2,15.1,0.443158808215216
0.2,15.2,0.357642725598527
0.2,15.3,0.412346980612663
0.2,16.1,0.321409503470368
0.2,16.3,0.423863269912931
0.2,17.1,0.225086450801635
0.2,17.2,0.241630872025636
0.2,17.3,0.257124681933842
0.2,19.1,0.31784126984127
0.2,19.2,0.358891288696904
0.2,19.3,0.380791709345062
0.2,20.1,0.314402375649592
0.2,20.2,0.310704654707469
0.2,20.3,0.328616259103559
0.2,21.1,0.363246028338343
0.2,21.2,0.353654874166617
0.2,21.3,0.372979432668721
0.2,22.2,0.354470313584453
0.2,24.1,0.382861257801248
0.2,24.2,0.36931997226949
0.2,24.3,0.333208020050125
0.2,4.1,0.303173736270405
0.2,4.2,0.321495812504058
0.2,8.1,0.371323529411765
13.3,14.1,0.310230602624538
13.3,14.2,0.257803468208092
13.3,14.3,0.284178283428143
13.3,15.1,0.32969776609724
13.3,15.2,0.331282338134527
13.3,15.3,0.369121447028424
13.3,16.1,0.252010367515119
13.3,16.3,0.289017341040462
13.3,17.1,0.218067646639075
13.3,17.2,0.249747140745351
13.3,17.3,0.243665141944384
13.3,19.1,0.250208159866778
13.3,19.2,0.262070797635651
13.3,19.3,0.253229615224337
13.3,20.1,0.346565279030803
13.3,20.2,0.312957191018383
13.3,20.3,0.344230769230769
13.3,21.1,0.315508021390374
13.3,21.2,0.354655982315557
13.3,21.3,0.31614730878187
13.3,22.2,0.27208150965057
13.3,24.1,0.248312538351401
13.3,24.2,0.232342277012328
13.3,24.3,0.239768618944324
13.3,4.1,0.231929203539823
13.3,4.2,0.234648964571758
13.3,8.1,0.263961740203641
14.1,14.2,0.529978254116185
14.1,14.3,0.556861832149924
14.1,15.1,0.482024806396776
14.1,15.2,0.471379565480595
14.1,15.3,0.424474675863831
14.1,16.1,0.386917458470687
14.1,16.3,0.388748647673999
14.1,17.1,0.265946867452763
14.1,17.2,0.315546624990697
14.1,17.3,0.31685393258427
14.1,19.1,0.367742375656683
14.1,19.2,0.44963256812122
14.1,19.3,0.38679979253112
14.1,20.1,0.402581318036634
14.1,20.2,0.418375717801477
14.1,20.3,0.366995731056564
14.1,21.1,0.403829646748102
14.1,21.2,0.427449918787223
14.1,21.3,0.383785318756212
14.1,22.2,0.403088910532907
14.1,24.1,0.368937115962871
14.1,24.2,0.424943217014247
14.1,24.3,0.361047120418848
14.1,4.1,0.393935363745179
14.1,4.2,0.367155178458734
14.1,8.1,0.329709605361132
14.2,14.3,0.579116700789705
14.2,15.1,0.449044585987261
14.2,15.2,0.425722425722426
14.2,15.3,0.364280195724955
14.2,16.1,0.315323525582606
14.2,16.3,0.341306676187076
14.2,17.1,0.288617013665307
14.2,17.2,0.322885422915417
14.2,17.3,0.300126635711271
14.2,19.1,0.344907723855092
14.2,19.2,0.429315917936539
14.2,19.3,0.426531552280055
14.2,20.1,0.388921937999868
14.2,20.2,0.390813446240698
14.2,20.3,0.392018460703136
14.2,21.1,0.33611649188431
14.2,21.2,0.380511073253833
14.2,21.3,0.35010752688172
14.2,22.2,0.450751252086811
14.2,24.1,0.362703165098375
14.2,24.2,0.38892743166366
14.2,24.3,0.337684449489217
14.2,4.1,0.341237942122186
14.2,4.2,0.383721748926283
14.2,8.1,0.30757899388672
14.3,15.1,0.439539347408829
14.3,15.2,0.425907130170008
14.3,15.3,0.375671921241771
14.3,16.1,0.354596965819777
14.3,16.3,0.368686529020109
14.3,17.1,0.294978252273626
14.3,17.2,0.31708847521439
14.3,17.3,0.306220735785953
14.3,19.1,0.355079519636482
14.3,19.2,0.425423623611197
14.3,19.3,0.40139009556907
14.3,20.1,0.388111455108359
14.3,20.2,0.408460803059273
14.3,20.3,0.368605378361476
14.3,21.1,0.348691623888819
14.3,21.2,0.365019481724287
14.3,21.3,0.346094946401225
14.3,22.2,0.382700725158424
14.3,24.1,0.378811401602186
14.3,24.2,0.42274622199062
14.3,24.3,0.380782918149466
14.3,4.1,0.331594494374961
14.3,4.2,0.344795783926219
14.3,8.1,0.301730009535486
15.1,15.2,0.587745633187773
15.1,15.3,0.742849730851547
15.1,16.1,0.361782140353114
15.1,16.3,0.376828219099512
15.1,17.1,0.201901765925502
15.1,17.2,0.23325100339611
15.1,17.3,0.203389830508475
15.1,19.1,0.31363603963219
15.1,19.2,0.371541501976285
15.1,19.3,0.374661763685562
15.1,20.1,0.344073268761942
15.1,20.2,0.296414444302667
15.1,20.3,0.329961907263891
15.1,21.1,0.347182945399173
15.1,21.2,0.409571892938654
15.1,21.3,0.382960288808664
15.1,22.2,0.376825505656496
15.1,24.1,0.396645021645022
15.1,24.2,0.464020199186422
15.1,24.3,0.393800389213233
15.1,4.1,0.35653269850161
15.1,4.2,0.343238496663154
15.1,8.1,0.36301062397127
15.2,15.3,0.603409012490511
15.2,16.1,0.305422871593144
15.2,16.3,0.348470806302132
15.2,17.1,0.219057718527496
15.2,17.2,0.262081477816263
15.2,17.3,0.247995641005682
15.2,19.1,0.320721253325451
15.2,19.2,0.398517275143377
15.2,19.3,0.383657645567733
15.2,20.1,0.32943661971831
15.2,20.2,0.309556221072693
15.2,20.3,0.324726842508177
15.2,21.1,0.37768510504367
15.2,21.2,0.411076558566563
15.2,21.3,0.395654569786665
15.2,22.2,0.393009048024128
15.2,24.1,0.359579674679718
15.2,24.2,0.436972255729795
15.2,24.3,0.335969255783017
15.2,4.1,0.344549125168237
15.2,4.2,0.347832817337461
15.2,8.1,0.34533419438166
15.3,16.1,0.326055504406155
15.3,16.3,0.329248954879631
15.3,17.1,0.311315076737887
15.3,17.2,0.215562403697997
15.3,17.3,0.289247781172705
15.3,19.1,0.286061298849754
15.3,19.2,0.379140701869465
15.3,19.3,0.397481636935992
15.3,20.1,0.358663415277137
15.3,20.2,0.351753657445857
15.3,20.3,0.386616128610639
15.3,21.1,0.337381516587678
15.3,21.2,0.382690816829939
15.3,21.3,0.345302508607969
15.3,22.2,0.383706553097953
15.3,24.1,0.390046530447097
15.3,24.2,0.444840364880274
15.3,24.3,0.380018475094152
