Utente1,Utente2,ScoreML
0.1,0.2,0.476379910492292
0.1,13.3,0.212815990593768
0.1,14.1,0.315245478036176
0.1,14.2,0.307922272047833
0.1,14.3,0.256665160415725
0.1,15.1,0.246663107314469
0.1,15.2,0.267581475128645
0.1,15.3,0.264189886480908
0.1,16.1,0.181069958847737
0.1,16.3,0.305921052631579
0.1,17.1,0.191323692992214
0.1,17.2,0.182025028441411
0.1,17.3,0.189261031366295
0.1,19.1,0.241525423728814
0.1,19.2,0.21015761821366
0.1,19.3,0.199602780536246
0.1,20.1,0.188350571584105
0.1,20.2,0.221406086044071
0.1,20.3,0.255697609783213
0.1,21.1,0.176616915422886
0.1,21.2,0.195942028985507
0.1,21.3,0.191526407428903
0.1,22.2,0.194059405940594
0.1,24.1,0.177874186550976
0.1,24.2,0.182393252503954
0.1,24.3,0.205184776613348
0.1,4.1,0.187995469988675
0.1,4.2,0.148312119535141
0.1,8.1,0.226438188494492
0.2,13.3,0.221374045801527
0.2,14.1,0.304675716440422
0.2,14.2,0.285574572127139
0.2,14.3,0.268974700399467
0.2,15.1,0.241325737959606
0.2,15.2,0.254366812227074
0.2,15.3,0.260371959942775
0.2,16.1,0.2493321460374
0.2,16.3,0.253048780487805
0.2,17.1,0.181818181818182
0.2,17.2,0.190581717451524
0.2,17.3,0.159398496240602
0.2,19.1,0.298708010335917
0.2,19.2,0.22024121657053
0.2,19.3,0.202656173143138
0.2,20.1,0.221861471861472
0.2,20.2,0.206175298804781
0.2,20.3,0.193794229722373
0.2,21.1,0.169367485624673
0.2,21.2,0.179573512906846
0.2,21.3,0.170114942528736
0.2,22.2,0.220839813374806
0.2,24.1,0.192490745637229
0.2,24.2,0.251177394034537
0.2,24.3,0.222933333333333
0.2,4.1,0.180238870792617
0.2,4.2,0.153592978606692
0.2,8.1,0.260422615648201
13.3,14.1,0.19988577955454
13.3,14.2,0.186422413793103
13.3,14.3,0.193046185781007
13.3,15.1,0.263414634146341
13.3,15.2,0.201282051282051
13.3,15.3,0.202785515320334
13.3,16.1,0.217236104028557
13.3,16.3,0.202562538133008
13.3,17.1,0.161001788908766
13.3,17.2,0.156641604010025
13.3,17.3,0.159568086382723
13.3,19.1,0.189013585351447
13.3,19.2,0.150511739915713
13.3,19.3,0.155715074544451
13.3,20.1,0.169594185342217
13.3,20.2,0.192609182530795
13.3,20.3,0.236144578313253
13.3,21.1,0.176258992805755
13.3,21.2,0.194723618090452
13.3,21.3,0.164564564564565
13.3,22.2,0.181606519208382
13.3,24.1,0.181034482758621
13.3,24.2,0.225334957369062
13.3,24.3,0.195060164661178
13.3,4.1,0.228247162673392
13.3,4.2,0.185307743216413
13.3,8.1,0.229018492176387
14.1,14.2,0.415767245424683
14.1,14.3,0.373606776638431
14.1,15.1,0.266187050359712
14.1,15.2,0.256742179072276
14.1,15.3,0.229007633587786
14.1,16.1,0.206363636363636
14.1,16.3,0.259314456035768
14.1,17.1,0.144255538382277
14.1,17.2,0.182985553772071
14.1,17.3,0.172185430463576
14.1,19.1,0.251928020565553
14.1,19.2,0.267087276550999
14.1,19.3,0.187469645458961
14.1,20.1,0.193020719738277
14.1,20.2,0.231600617601647
14.1,20.3,0.23433242506812
14.1,21.1,0.220489977728285
14.1,21.2,0.196513470681458
14.1,21.3,0.206287920573635
14.1,22.2,0.302023871302543
14.1,24.1,0.218335983041865
14.1,24.2,0.207885304659498
14.1,24.3,0.206027397260274
14.1,4.1,0.201298701298701
14.1,4.2,0.181418361737218
14.1,8.1,0.172453703703704
14.2,14.3,0.448096885813149
14.2,15.1,0.241516966067864
14.2,15.2,0.252741514360313
14.2,15.3,0.214516874711049
14.2,16.1,0.204899777282851
14.2,16.3,0.284832904884319
14.2,17.1,0.162650602409639
14.2,17.2,0.215605749486653
14.2,17.3,0.197374817695673
14.2,19.1,0.275625306522805
14.2,19.2,0.257032542746828
14.2,19.3,0.252417794970986
14.2,20.1,0.179856115107914
14.2,20.2,0.22620827105132
14.2,20.3,0.244315177154944
14.2,21.1,0.208924949290061
14.2,21.2,0.217213114754098
14.2,21.3,0.223691460055096
14.2,22.2,0.245074483421432
14.2,24.1,0.19806023481368
14.2,24.2,0.213
14.2,24.3,0.184794086589229
14.2,4.1,0.256246677299309
14.2,4.2,0.234042553191489
14.2,8.1,0.173766816143498
14.3,15.1,0.253402158610981
14.3,15.2,0.235637779941577
14.3,15.3,0.237658366098733
14.3,16.1,0.235343035343035
14.3,16.3,0.229673863114378
14.3,17.1,0.185480093676815
14.3,17.2,0.205853658536585
14.3,17.3,0.231020027945971
14.3,19.1,0.276625172890733
14.3,19.2,0.235353535353535
14.3,19.3,0.210621062106211
14.3,20.1,0.225095785440613
14.3,20.2,0.236804564907275
14.3,20.3,0.201166180758017
14.3,21.1,0.220525059665871
14.3,21.2,0.213740458015267
14.3,21.3,0.172219374679651
14.3,22.2,0.26522961574508
14.3,24.1,0.174119885823026
14.3,24.2,0.271880819366853
14.3,24.3,0.181908057340583
14.3,4.1,0.240631163708087
14.3,4.2,0.211753278290432
14.3,8.1,0.183534347142108
15.1,15.2,0.368921185019564
15.1,15.3,0.382235528942116
15.1,16.1,0.206004618937644
15.1,16.3,0.227717671303452
15.1,17.1,0.148655772272008
15.1,17.2,0.135462555066079
15.1,17.3,0.157784743991641
15.1,19.1,0.195542046605876
15.1,19.2,0.152317880794702
15.1,19.3,0.154892726321298
15.1,20.1,0.172451193058568
15.1,20.2,0.194910665944775
15.1,20.3,0.197997775305895
15.1,21.1,0.171459576776994
15.1,21.2,0.16794731064764
15.1,21.3,0.166292134831461
15.1,22.2,0.239043824701195
15.1,24.1,0.205156335710368
15.1,24.2,0.221630261054875
15.1,24.3,0.230725942599887
15.1,4.1,0.183591508892714
15.1,4.2,0.159460976979225
15.1,8.1,0.197303921568627
15.2,15.3,0.298474945533769
15.2,16.1,0.204590818363273
15.2,16.3,0.260920209668026
15.2,17.1,0.156268221574344
15.2,17.2,0.14200477326969
15.2,17.3,0.158820192853091
15.2,19.1,0.21
15.2,19.2,0.204773869346734
15.2,19.3,0.14712389380531
15.2,20.1,0.163601775523145
15.2,20.2,0.182245737801293
15.2,20.3,0.182142857142857
15.2,21.1,0.184984984984985
15.2,21.2,0.17965496728138
15.2,21.3,0.195331695331695
15.2,22.2,0.215167548500882
15.2,24.1,0.179548156956005
15.2,24.2,0.18848167539267
15.2,24.3,0.171187462326703
15.2,4.1,0.220715166461159
15.2,4.2,0.167186525265128
15.2,8.1,0.219691895512391
15.3,16.1,0.195348837209302
15.3,16.3,0.223441396508728
15.3,17.1,0.149847094801223
15.3,17.2,0.175654853620955
15.3,17.3,0.134831460674157
15.3,19.1,0.176811594202899
15.3,19.2,0.148606811145511
15.3,19.3,0.143641354071363
15.3,20.1,0.170974155069582
15.3,20.2,0.181818181818182
15.3,20.3,0.170575692963753
15.3,21.1,0.14716781365802
15.3,21.2,0.14027149321267
15.3,21.3,0.122967479674797
15.3,22.2,0.224228028503563
15.3,24.1,0.203501094091904
15.3,24.2,0.22333000997009
15.3,24.3,0.237376366475794
15.3,4.1,0.159957058507783
15.3,4.2,0.172284644194757
15.3,8.1,0.180100055586437
16.1,16.3,0.317105850826262
16.1,17.1,0.194609410689813
16.1,17.2,0.189176011701609
16.1,17.3,0.165162454873646
16.1,19.1,0.189734188817599
