Utente1,Utente2,ScoreML
0.1,0.2,0.577694969390471
0.1,38.6,0.356002624097966
0.1,38.7,0.316357236132402
0.1,38.8,0.337940410105359
0.1,38.9,0.387735366061778
0.1,4.1,0.379728593731236
0.1,4.2,0.352917314583192
0.1,4.3,0.340453304853447
0.2,38.6,0.421636503502166
0.2,38.7,0.359846082286777
0.2,38.8,0.380232266688946
0.2,38.9,0.439390743006624
0.2,4.1,0.394127414139649
0.2,4.2,0.391650099403579
0.2,4.3,0.393338755939895
38.6,38.7,0.76165311093679
38.6,38.8,0.739504712170046
38.6,38.9,0.7533041484261
38.6,4.1,0.40787008119925
38.6,4.2,0.386432233028314
38.6,4.3,0.402357424557983
38.7,38.8,0.724265323257767
38.7,38.9,0.735951921013093
38.7,4.1,0.382580793032317
38.7,4.2,0.357669653021828
38.7,4.3,0.39468438538206
38.8,38.9,0.643232700135685
38.8,4.1,0.394852907743373
38.8,4.2,0.385440015593022
38.8,4.3,0.389388292041219
38.9,4.1,0.393176502957766
38.9,4.2,0.360775776766277
38.9,4.3,0.385593220338983
4.1,4.2,0.650213818331702
4.1,4.3,0.646684747030768
4.2,4.3,0.657672170761176
